'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'

'amarelo', 'laranja', 'verde', 'preto', 'rosa', 'lilas', 'ciano'



